"","action","dataset","accuracy","reward","total_reward","loss","iteration","mu","sigma","ucb_reward","controller","random"
"86","9-2-3-16-1-32-24-2","cifar10","0.2167","-0.1","0.3793499328054062","1.3359063863754272","86","0.4981697201728821","0.7150501608848572","2.984743639327675","gaussian","0"
"87","3-16-3-16-1-8-1-16","cifar10","0.3738","-0.03754074045498074","0.34180919235042545","0.8187667727470398","87","0.0879536122083664","0.7049565315246582","2.988614434367399","gaussian","0"
"88","12-64-3-32-24-16-3-8","cifar10","0.5701","0.1","0.4418091923504255","0.7326265573501587","88","0.030355114489793777","0.7141991257667542","2.9924360693181757","gaussian","0"
"89","1-32-6-16-1-8-24-64","cifar10","0.5488","0.1","0.5418091923504255","0.7313328385353088","89","0.09939119219779968","0.7033876776695251","2.996209728884859","gaussian","0"
"90","1-4-24-8-12-8-3-16","cifar10","0.4463","-0.013128859112950197","0.5286803332374752","0.9165411591529846","90","-0.47173094749450684","0.7144345641136169","2.9999365561059004","gaussian","0"
"91","3-32-1-32-1-8-24-2","cifar10","0.3159","-0.1","0.42868033323747523","0.9225287437438965","91","0.26856669783592224","0.7080567479133606","3.003617654268549","gaussian","0"
"92","1-2-3-32-12-32-24-16","cifar10","0.4858","0.057177530167711876","0.4858578634051871","0.8460113406181335","92","0.19108790159225464","0.7129737138748169","3.0072540887158308","gaussian","0"
"93","9-64-3-16-12-32-9-16","cifar10","0.6267","0.1","0.5858578634051871","0.8973358869552612","93","-0.2625279128551483","0.7227353453636169","3.0108468885525403","gaussian","0"
"94","3-64-1-16-1-8-24-32","cifar10","0.5056","0.02821361930733568","0.6140714827125228","0.8460113406181335","94","0.19108790159225464","0.7129737138748169","3.014397048256916","gaussian","0"
"95","12-16-3-32-24-16-6-8","cifar10","0.5787","0.09567089544586849","0.7097423781583913","0.6962264776229858","95","-0.05528580769896507","0.7092798948287964","3.0179055292041665","gaussian","0"
"96","1-32-24-8-12-8-9-32","cifar10","0.4942","-0.00796328364330523","0.701779094515086","0.9222809672355652","96","-0.08355000615119934","0.724853515625","3.0213732611075503","gaussian","0"
"97","9-2-3-32-1-16-9-2","cifar10","0.1","-0.1","0.601779094515086","0.8227160573005676","97","-0.07010036706924438","0.7077882885932922","3.024801143382283","gaussian","0"
"98","1-32-9-8-12-8-9-2","cifar10","0.3582","-0.06225650153171536","0.5395225929833707","0.7582350969314575","98","-0.10441802442073822","0.7022056579589844","3.028190046437169","gaussian","0"
"99","3-2-3-64-9-32-9-2","cifar10","0.4164","0.008394798774627676","0.5479173917579984","0.8107317090034485","99","-0.24895763397216797","0.7083348631858826","3.0315408128984807","gaussian","0"
"100","24-4-1-16-24-8-24-4","cifar100","0.01","0.01","0.5579173917579984","0.9307661056518555","0","-0.5260444283485413","0.7214481234550476","0","gaussian","0"
"101","12-16-3-32-24-16-6-32","cifar100","0.01","0","0.5579173917579984","0.6834179759025574","1","-0.0423700176179409","0.6963810920715332","0","gaussian","0"
"102","1-32-24-16-1-8-9-32","cifar100","0.195","0.1","0.6579173917579983","0.7953118085861206","2","-0.021584995090961456","0.7176242470741272","1.1774100225154747","gaussian","0"
"103","1-16-24-4-9-16-12-32","cifar100","0.1662","0.1","0.7579173917579983","0.9410231113433838","3","-0.1871577799320221","0.7142889499664307","1.4823038073675112","gaussian","0"
"104","24-2-3-8-6-32-12-8","cifar100","0.1318","0.060960000000000014","0.8188773917579983","0.9709349870681763","4","0.11010339856147766","0.7113435864448547","1.6651092223153954","gaussian","0"
"105","3-2-24-16-3-4-9-4","cifar100","0.0833","0.00026800000000000435","0.8191453917579984","0.9059976935386658","5","0.16781757771968842","0.7024996280670166","1.7941225779941015","gaussian","0"
"106","12-32-3-4-1-8-24-8","cifar100","0.112","0.028914400000000007","0.8480597917579984","0.8194580078125","6","0.1740250289440155","0.7032890319824219","1.8930184728248454","gaussian","0"
"107","3-32-6-8-1-32-12-64","cifar100","0.2526","0.1","0.9480597917579984","0.775031328201294","7","-0.039086196571588516","0.7045546770095825","1.9727697022487511","gaussian","0"
"108","3-2-3-16-24-16-6-16","cifar100","0.1955","0.073885216","1.0219450077579983","0.7714170813560486","8","-0.1318385750055313","0.7137719392776489","2.039333980337618","gaussian","0"
"109","12-8-3-8-24-8-9-2","cifar100","0.0645","-0.07189182720000001","0.9500531805579984","0.7904961109161377","9","-0.3207349479198456","0.7161331176757812","2.09629414793641","gaussian","0"
"110","3-2-3-8-1-8-12-8","cifar100","0.1197","-0.00231346176000001","0.9477397187979983","0.8650751709938049","10","0.06674370169639587","0.7138708829879761","2.145966026289347","gaussian","0"
"111","12-8-3-16-6-16-12-2","cifar100","0.01","-0.1","0.8477397187979984","0.7115291953086853","11","-0.11652755737304688","0.7081010937690735","2.189929347170073","gaussian","0"
"112","1-2-3-16-12-8-3-16","cifar100","0.1318","0.03255938447359999","0.8802991032715983","1.4668104648590088","12","0.48822903633117676","0.7138537764549255","2.2293078072747154","gaussian","0"
"113","9-64-3-64-1-8-6-2","cifar100","0.06","-0.045752492421120006","0.8345466108504783","0.7683727145195007","13","-0.11388549208641052","0.7151370644569397","2.2649279712439143","gaussian","0"
"114","24-8-6-32-12-32-12-64","cifar100","0.01","-0.08660199393689601","0.7479446169135823","0.7740450501441956","14","-0.15221332013607025","0.71319580078125","2.2974147773596556","gaussian","0"
